year,sex,age,suicides_no
2012,female,15-24 years,6152
2012,female,25-34 years,7247
2012,female,35-54 years,18282
2012,female,5-14 years,663
2012,female,55-74 years,14278
2012,female,75+ years,7412
2012,male,15-24 years,20883
2012,male,25-34 years,30118
2012,male,35-54 years,65436
2012,male,5-14 years,1220
2012,male,55-74 years,44939
2012,male,75+ years,17455
2013,female,15-24 years,6208
2013,female,25-34 years,7076
2013,female,35-54 years,17962
2013,female,5-14 years,799
2013,female,55-74 years,14050
2013,female,75+ years,7128
2013,male,15-24 years,19512
2013,male,25-34 years,29418
2013,male,35-54 years,64108
2013,male,5-14 years,1156
2013,male,55-74 years,44636
2013,male,75+ years,17368
2014,female,15-24 years,5869
2014,female,25-34 years,7208
2014,female,35-54 years,17789
2014,female,5-14 years,825
2014,female,55-74 years,14112
2014,female,75+ years,7227
2014,male,15-24 years,19292
2014,male,25-34 years,29272
2014,male,35-54 years,62744
2014,male,5-14 years,1195
2014,male,55-74 years,44346
2014,male,75+ years,17914
2015,female,15-24 years,5403
2015,female,25-34 years,6533
2015,female,35-54 years,16208
2015,female,5-14 years,741
2015,female,55-74 years,13054
2015,female,75+ years,6587
2015,male,15-24 years,17432
2015,male,25-34 years,26581
2015,male,35-54 years,56383
2015,male,5-14 years,1030
2015,male,55-74 years,41196
2015,male,75+ years,16760
2016,female,15-24 years,276
2016,female,25-34 years,407
2016,female,35-54 years,1276
2016,female,5-14 years,42
2016,female,55-74 years,1155
2016,female,75+ years,552
2016,male,15-24 years,1030
2016,male,25-34 years,1796
2016,male,35-54 years,4810
2016,male,5-14 years,54
2016,male,55-74 years,3758
2016,male,75+ years,1327
